01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Águeda,Município,Nenhum,,,,,148.6
2009,Águeda,Município,Secundário,,,,,318.8
2009,Águeda,Município,Superior,,,,,192.8
2009,Águeda,Município,Total,,,,,2084.3
2009,Aguiar da Beira,Município,Básico - 1º ciclo,,,,,66.3
2009,Aguiar da Beira,Município,Básico - 2º ciclo,,,,,24.7
2009,Aguiar da Beira,Município,Básico - 3º ciclo,,,,,26.5
2009,Aguiar da Beira,Município,Nenhum,,,,,20.4
2009,Aguiar da Beira,Município,Secundário,,,,,17.6
2009,Aguiar da Beira,Município,Superior,,,,,12.7
2009,Aguiar da Beira,Município,Total,,,,,168.1
2009,Alandroal,Município,Básico - 1º ciclo,,,,,100.0
2009,Alandroal,Município,Básico - 2º ciclo,,,,,53.9
2009,Alandroal,Município,Básico - 3º ciclo,,,,,35.2
2009,Alandroal,Município,Nenhum,,,,,17.8
2009,Alandroal,Município,Secundário,,,,,21.7
2009,Alandroal,Município,Superior,,,,,12.3
2009,Alandroal,Município,Total,,,,,240.8
2009,Albergaria-a-Velha,Município,Básico - 1º ciclo,,,,,304.7
2009,Albergaria-a-Velha,Município,Básico - 2º ciclo,,,,,287.8
2009,Albergaria-a-Velha,Município,Básico - 3º ciclo,,,,,228.9
2009,Albergaria-a-Velha,Município,Nenhum,,,,,74.6
2009,Albergaria-a-Velha,Município,Secundário,,,,,168.7
2009,Albergaria-a-Velha,Município,Superior,,,,,89.3
2009,Albergaria-a-Velha,Município,Total,,,,,1153.9
2009,Albufeira,Município,Básico - 1º ciclo,,,,,519.3
2009,Albufeira,Município,Básico - 2º ciclo,,,,,394.3
2009,Albufeira,Município,Básico - 3º ciclo,,,,,476.4
2009,Albufeira,Município,Nenhum,,,,,417.2
2009,Albufeira,Município,Secundário,,,,,412.3
2009,Albufeira,Município,Superior,,,,,72.5
2009,Albufeira,Município,Total,,,,,2292.0
2009,Alcácer do Sal,Município,Básico - 1º ciclo,,,,,138.8
2009,Alcácer do Sal,Município,Básico - 2º ciclo,,,,,100.2
2009,Alcácer do Sal,Município,Básico - 3º ciclo,,,,,77.6
2009,Alcácer do Sal,Município,Nenhum,,,,,25.3
2009,Alcácer do Sal,Município,Secundário,,,,,58.3
2009,Alcácer do Sal,Município,Superior,,,,,29.9
2009,Alcácer do Sal,Município,Total,,,,,430.1
2009,Alcanena,Município,Básico - 1º ciclo,,,,,106.7
2009,Alcanena,Município,Básico - 2º ciclo,,,,,87.8
2009,Alcanena,Município,Básico - 3º ciclo,,,,,102.3
2009,Alcanena,Município,Nenhum,,,,,21.7
2009,Alcanena,Município,Secundário,,,,,101.9
2009,Alcanena,Município,Superior,,,,,44.8
2009,Alcanena,Município,Total,,,,,465.1
2009,Alcobaça,Município,Básico - 1º ciclo,,,,,808.5
2009,Alcobaça,Município,Básico - 2º ciclo,,,,,419.5
2009,Alcobaça,Município,Básico - 3º ciclo,,,,,477.8
2009,Alcobaça,Município,Nenhum,,,,,142.8
2009,Alcobaça,Município,Secundário,,,,,400.3
2009,Alcobaça,Município,Superior,,,,,186.3
2009,Alcobaça,Município,Total,,,,,2435.1
2009,Alcochete,Município,Básico - 1º ciclo,,,,,124.3
2009,Alcochete,Município,Básico - 2º ciclo,,,,,106.8
2009,Alcochete,Município,Básico - 3º ciclo,,,,,116.1
2009,Alcochete,Município,Nenhum,,,,,28.1
2009,Alcochete,Município,Secundário,,,,,150.0
2009,Alcochete,Município,Superior,,,,,53.4
2009,Alcochete,Município,Total,,,,,578.6
2009,Alcoutim,Município,Básico - 1º ciclo,,,,,10.3
2009,Alcoutim,Município,Básico - 2º ciclo,,,,,5.8
2009,Alcoutim,Município,Básico - 3º ciclo,,,,,10.0
2009,Alcoutim,Município,Nenhum,,,,,1.2
2009,Alcoutim,Município,Secundário,,,,,6.5
2009,Alcoutim,Município,Superior,,,,,1.8
2009,Alcoutim,Município,Total,,,,,35.6
2009,Alenquer,Município,Básico - 1º ciclo,,,,,469.3
2009,Alenquer,Município,Básico - 2º ciclo,,,,,409.0
2009,Alenquer,Município,Básico - 3º ciclo,,,,,411.9
2009,Alenquer,Município,Nenhum,,,,,74.8
2009,Alenquer,Município,Secundário,,,,,448.2
2009,Alenquer,Município,Superior,,,,,87.0
2009,Alenquer,Município,Total,,,,,1900.2
2009,Alfândega da Fé,Município,Básico - 1º ciclo,,,,,82.3
2009,Alfândega da Fé,Município,Básico - 2º ciclo,,,,,45.2
2009,Alfândega da Fé,Município,Básico - 3º ciclo,,,,,61.6
2009,Alfândega da Fé,Município,Nenhum,,,,,18.9
2009,Alfândega da Fé,Município,Secundário,,,,,27.8
2009,Alfândega da Fé,Município,Superior,,,,,9.5
2009,Alfândega da Fé,Município,Total,,,,,245.3
2009,Alijó,Município,Básico - 1º ciclo,,,,,243.3
2009,Alijó,Município,Básico - 2º ciclo,,,,,126.1
2009,Alijó,Município,Básico - 3º ciclo,,,,,88.3
2009,Alijó,Município,Nenhum,,,,,36.2
2009,Alijó,Município,Secundário,,,,,82.3
2009,Alijó,Município,Superior,,,,,48.7
2009,Alijó,Município,Total,,,,,624.8
2009,Aljezur,Município,Básico - 1º ciclo,,,,,26.8
2009,Aljezur,Município,Básico - 2º ciclo,,,,,22.0
2009,Aljezur,Município,Básico - 3º ciclo,,,,,26.5
2009,Aljezur,Município,Nenhum,,,,,9.3
2009,Aljezur,Município,Secundário,,,,,40.1
2009,Aljezur,Município,Superior,,,,,5.9
2009,Aljezur,Município,Total,,,,,130.5
2009,Aljustrel,Município,Básico - 1º ciclo,,,,,79.0
2009,Aljustrel,Município,Básico - 2º ciclo,,,,,88.6
2009,Aljustrel,Município,Básico - 3º ciclo,,,,,91.6
2009,Aljustrel,Município,Nenhum,,,,,29.8
2009,Aljustrel,Município,Secundário,,,,,59.3
2009,Aljustrel,Município,Superior,,,,,34.3
2009,Aljustrel,Município,Total,,,,,382.5
2009,Almada,Município,Básico - 1º ciclo,,,,,1468.8
2009,Almada,Município,Básico - 2º ciclo,,,,,1307.1
2009,Almada,Município,Básico - 3º ciclo,,,,,1562.9
2009,Almada,Município,Nenhum,,,,,285.8
2009,Almada,Município,Secundário,,,,,1531.3
2009,Almada,Município,Superior,,,,,648.1
2009,Almada,Município,Total,,,,,6803.9
2009,Almeida,Município,Básico - 1º ciclo,,,,,53.8
2009,Almeida,Município,Básico - 2º ciclo,,,,,20.1
2009,Almeida,Município,Básico - 3º ciclo,,,,,36.8
2009,Almeida,Município,Nenhum,,,,,10.8
2009,Almeida,Município,Secundário,,,,,19.0
2009,Almeida,Município,Superior,,,,,17.7
2009,Almeida,Município,Total,,,,,158.3
2009,Almeirim,Município,Básico - 1º ciclo,,,,,355.0
2009,Almeirim,Município,Básico - 2º ciclo,,,,,183.0
2009,Almeirim,Município,Básico - 3º ciclo,,,,,154.5
2009,Almeirim,Município,Nenhum,,,,,106.2
2009,Almeirim,Município,Secundário,,,,,152.9
2009,Almeirim,Município,Superior,,,,,50.8
2009,Almeirim,Município,Total,,,,,1002.4
2009,Almodôvar,Município,Básico - 1º ciclo,,,,,136.1
2009,Almodôvar,Município,Básico - 2º ciclo,,,,,95.8
2009,Almodôvar,Município,Básico - 3º ciclo,,,,,110.7
2009,Almodôvar,Município,Nenhum,,,,,50.6
2009,Almodôvar,Município,Secundário,,,,,68.5
2009,Almodôvar,Município,Superior,,,,,21.3
2009,Almodôvar,Município,Total,,,,,482.9
2009,Alpiarça,Município,Básico - 1º ciclo,,,,,125.6
2009,Alpiarça,Município,Básico - 2º ciclo,,,,,39.3
2009,Alpiarça,Município,Básico - 3º ciclo,,,,,53.0
2009,Alpiarça,Município,Nenhum,,,,,45.3
2009,Alpiarça,Município,Secundário,,,,,45.2
2009,Alpiarça,Município,Superior,,,,,20.1
2009,Alpiarça,Município,Total,,,,,328.4
2009,Alter do Chão,Município,Básico - 1º ciclo,,,,,36.3
2009,Alter do Chão,Município,Básico - 2º ciclo,,,,,29.2
2009,Alter do Chão,Município,Básico - 3º ciclo,,,,,20.0
2009,Alter do Chão,Município,Nenhum,,,,,10.7
2009,Alter do Chão,Município,Secundário,,,,,22.6
2009,Alter do Chão,Município,Superior,,,,,11.4
2009,Alter do Chão,Município,Total,,,,,130.2
2009,Alvaiázere,Município,Básico - 1º ciclo,,,,,68.2
2009,Alvaiázere,Município,Básico - 2º ciclo,,,,,56.3
2009,Alvaiázere,Município,Básico - 3º ciclo,,,,,41.4
2009,Alvaiázere,Município,Nenhum,,,,,14.8
2009,Alvaiázere,Município,Secundário,,,,,35.5
2009,Alvaiázere,Município,Superior,,,,,18.2
2009,Alvaiázere,Município,Total,,,,,234.4
2009,Alvito,Município,Básico - 1º ciclo,,,,,14.8
2009,Alvito,Município,Básico - 2º ciclo,,,,,19.4
2009,Alvito,Município,Básico - 3º ciclo,,,,,19.3
2009,Alvito,Município,Nenhum,,,,,4.3
2009,Alvito,Município,Secundário,,,,,12.5
2009,Alvito,Município,Superior,,,,,5.5
2009,Alvito,Município,Total,,,,,75.8
2009,Amadora,Município,Básico - 1º ciclo,,,,,2024.2
2009,Amadora,Município,Básico - 2º ciclo,,,,,1721.5
2009,Amadora,Município,Básico - 3º ciclo,,,,,1893.5
2009,Amadora,Município,Nenhum,,,,,520.3
2009,Amadora,Município,Secundário,,,,,1729.3
2009,Amadora,Município,Superior,,,,,641.3
2009,Amadora,Município,Total,,,,,8530.0
2009,Amarante,Município,Básico - 1º ciclo,,,,,1526.5
2009,Amarante,Município,Básico - 2º ciclo,,,,,690.8
2009,Amarante,Município,Básico - 3º ciclo,,,,,556.5
2009,Amarante,Município,Nenhum,,,,,249.9
2009,Amarante,Município,Secundário,,,,,520.8
2009,Amarante,Município,Superior,,,,,236.6
2009,Amarante,Município,Total,,,,,3781.1
2009,Amares,Município,Básico - 1º ciclo,,,,,283.6
2009,Amares,Município,Básico - 2º ciclo,,,,,206.2
2009,Amares,Município,Básico - 3º ciclo,,,,,165.0
2009,Amares,Município,Nenhum,,,,,43.0
2009,Amares,Município,Secundário,,,,,151.5
2009,Amares,Município,Superior,,,,,65.5
2009,Amares,Município,Total,,,,,914.8
